team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Chennai Super Kings,Rajasthan Royals,3,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,63.0,179.0
Kolkata Knight Riders,Kings XI Punjab,3,Kolkata Knight Riders,bat,Kings XI Punjab,Eden Gardens,wickets,8.0,201.0
Delhi Daredevils,Royal Challengers Bangalore,3,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla,runs,37.0,185.0
Deccan Chargers,Rajasthan Royals,3,Rajasthan Royals,bat,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",runs,2.0,160.0
Chennai Super Kings,Mumbai Indians,3,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,24.0,166.0
Rajasthan Royals,Kings XI Punjab,3,Kings XI Punjab,bat,Rajasthan Royals,Sawai Mansingh Stadium,wickets,9.0,154.0
Kolkata Knight Riders,Delhi Daredevils,3,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,runs,14.0,182.0
Royal Challengers Bangalore,Deccan Chargers,3,Deccan Chargers,field,Deccan Chargers,M Chinnaswamy Stadium,wickets,7.0,185.0
Kings XI Punjab,Mumbai Indians,3,Mumbai Indians,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,6.0,155.0
Deccan Chargers,Chennai Super Kings,3,Chennai Super Kings,bat,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",wickets,6.0,139.0
Royal Challengers Bangalore,Kolkata Knight Riders,3,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,7.0,161.0
Delhi Daredevils,Kings XI Punjab,3,Delhi Daredevils,bat,Kings XI Punjab,Feroz Shah Kotla,wickets,7.0,112.0
Rajasthan Royals,Mumbai Indians,3,Rajasthan Royals,field,Mumbai Indians,Sawai Mansingh Stadium,runs,37.0,175.0
Deccan Chargers,Royal Challengers Bangalore,3,Royal Challengers Bangalore,field,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",runs,13.0,152.0
Chennai Super Kings,Kolkata Knight Riders,3,Kolkata Knight Riders,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,39.0,184.0
Mumbai Indians,Delhi Daredevils,3,Mumbai Indians,bat,Mumbai Indians,Brabourne Stadium,wickets,9.0,140.0
Rajasthan Royals,Royal Challengers Bangalore,3,Rajasthan Royals,bat,Royal Challengers Bangalore,Sawai Mansingh Stadium,wickets,5.0,131.0
Chennai Super Kings,Delhi Daredevils,3,Chennai Super Kings,bat,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",wickets,6.0,113.0
Kings XI Punjab,Deccan Chargers,3,Deccan Chargers,field,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,wickets,5.0,175.0
Royal Challengers Bangalore,Mumbai Indians,3,Royal Challengers Bangalore,field,Mumbai Indians,M Chinnaswamy Stadium,runs,57.0,192.0
Kolkata Knight Riders,Rajasthan Royals,3,Rajasthan Royals,bat,Kolkata Knight Riders,Eden Gardens,wickets,8.0,133.0
Delhi Daredevils,Deccan Chargers,3,Deccan Chargers,bat,Deccan Chargers,Feroz Shah Kotla,wickets,6.0,193.0
Kings XI Punjab,Chennai Super Kings,3,Chennai Super Kings,field,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,runs,11.0,146.0
Kolkata Knight Riders,Mumbai Indians,3,Mumbai Indians,bat,Kolkata Knight Riders,Eden Gardens,wickets,9.0,134.0
Royal Challengers Bangalore,Mumbai Indians,3,Mumbai Indians,bat,Mumbai Indians,Dr DY Patil Sports Academy,runs,35.0,185.0
Chennai Super Kings,Deccan Chargers,3,Chennai Super Kings,bat,Chennai Super Kings,Dr DY Patil Sports Academy,runs,38.0,143.0
Royal Challengers Bangalore,Deccan Chargers,3,Deccan Chargers,bat,Royal Challengers Bangalore,Dr DY Patil Sports Academy,wickets,9.0,83.0
Chennai Super Kings,Mumbai Indians,3,Chennai Super Kings,bat,Chennai Super Kings,Dr DY Patil Sports Academy,runs,22.0,169.0
Chennai Super Kings,Kolkata Knight Riders,4,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,2.0,154.0
Deccan Chargers,Rajasthan Royals,4,Rajasthan Royals,field,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",wickets,8.0,138.0
Kochi Tuskers Kerala,Royal Challengers Bangalore,4,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,Nehru Stadium,wickets,6.0,162.0
Delhi Daredevils,Mumbai Indians,4,Delhi Daredevils,bat,Mumbai Indians,Feroz Shah Kotla,wickets,8.0,96.0
Pune Warriors,Kings XI Punjab,4,Kings XI Punjab,bat,Pune Warriors,Dr DY Patil Sports Academy,wickets,7.0,113.0
Kolkata Knight Riders,Deccan Chargers,4,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,runs,9.0,164.0
Royal Challengers Bangalore,Mumbai Indians,4,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium,wickets,6.0,152.0
Rajasthan Royals,Delhi Daredevils,4,Delhi Daredevils,bat,Rajasthan Royals,Sawai Mansingh Stadium,wickets,9.0,141.0
